|TABLE_NAME                         |CONSTRAINT_NAME                       |CONSTRAINT_TYPE|STATUS  |VALIDATED    |COLUMN_NAME                           |POSITION|
|LOGMNRC_CON_GG                     |SYS_C003019                           |C              |ENABLED |VALIDATED    |BASEOBJ#                              |        |
|LOGMNRC_CON_GG                     |SYS_C003020                           |C              |ENABLED |VALIDATED    |BASEOBJV#                             |        |
|LOGMNRC_CON_GG                     |SYS_C003021                           |C              |ENABLED |VALIDATED    |FLAGS                                 |        |
|LOGMNRC_CON_GG                     |LOGMNRC_CON_GG_PK                     |P              |ENABLED |VALIDATED    |LOGMNR_UID                            |1       |
|LOGMNRC_CON_GG                     |LOGMNRC_CON_GG_PK                     |P              |ENABLED |VALIDATED    |CON#                                  |2       |
|LOGMNRC_CON_GG                     |LOGMNRC_CON_GG_PK                     |P              |ENABLED |VALIDATED    |COMMIT_SCN                            |3       |
|LOGMNRC_DBNAME_UID_MAP             |SYS_C001749                           |C              |ENABLED |VALIDATED    |GLOBAL_NAME                           |        |
|LOGMNRC_DBNAME_UID_MAP             |SYS_C001750                           |C              |ENABLED |VALIDATED    |LOGMNR_MDH                            |        |
|LOGMNRC_DBNAME_UID_MAP             |LOGMNRC_DBNAME_UID_MAP_PK             |P              |ENABLED |VALIDATED    |GLOBAL_NAME                           |1       |
|LOGMNRC_DBNAME_UID_MAP             |LOGMNRC_DBNAME_UID_MAP_PK             |P              |ENABLED |VALIDATED    |LOGMNR_MDH                            |2       |
|LOGMNR_CDEF$                       |SYS_C003443                           |C              |ENABLED |VALIDATED    |OBJ#                                  |        |
|LOGMNR_CDEF$                       |LOGMNR_CDEF$_PK                       |P              |DISABLED|NOT VALIDATED|LOGMNR_UID                            |1       |
|LOGMNR_CDEF$                       |LOGMNR_CDEF$_PK                       |P              |DISABLED|NOT VALIDATED|CON#                                  |2       |
|LOGMNRC_GSBA                       |SYS_C003156                           |C              |ENABLED |VALIDATED    |LOGMNR_UID                            |        |
|LOGMNRC_GSBA                       |SYS_C003158                           |C              |ENABLED |VALIDATED    |AS_OF_SCN                             |        |
|LOGMNRC_GSBA                       |LOGMNRC_GSBA_PK                       |P              |ENABLED |VALIDATED    |LOGMNR_UID                            |1       |
|LOGMNRC_GSBA                       |LOGMNRC_GSBA_PK                       |P              |ENABLED |VALIDATED    |AS_OF_SCN                             |2       |
|LOGMNRC_GSII                       |SYS_C003143                           |C              |ENABLED |VALIDATED    |LOGMNR_UID                            |        |
|LOGMNRC_GSII                       |SYS_C003144                           |C              |ENABLED |VALIDATED    |OBJ#                                  |        |
|LOGMNRC_GSII                       |SYS_C003146                           |C              |ENABLED |VALIDATED    |BO#                                   |        |
|LOGMNRC_GSII                       |SYS_C003147                           |C              |ENABLED |VALIDATED    |INDTYPE#                              |        |
|LOGMNRC_GSII                       |LOGMNRC_GSII_PK                       |P              |ENABLED |VALIDATED    |LOGMNR_UID                            |1       |
|LOGMNRC_GSII                       |LOGMNRC_GSII_PK                       |P              |ENABLED |VALIDATED    |OBJ#                                  |2       |
|LOGMNRC_GTCS                       |SYS_C002961                           |C              |ENABLED |VALIDATED    |LOGMNR_UID                            |        |
|LOGMNRC_GTCS                       |SYS_C002963                           |C              |ENABLED |VALIDATED    |OBJ#                                  |        |
|LOGMNRC_GTCS                       |SYS_C002965                           |C              |ENABLED |VALIDATED    |OBJV#                                 |        |
|LOGMNRC_GTCS                       |SYS_C002967                           |C              |ENABLED |VALIDATED    |SEGCOL#                               |        |
|LOGMNRC_GTCS                       |SYS_C002969                           |C              |ENABLED |VALIDATED    |INTCOL#                               |        |
|LOGMNRC_GTCS                       |SYS_C002971                           |C              |ENABLED |VALIDATED    |COLNAME                               |        |
|LOGMNRC_GTCS                       |SYS_C002973                           |C              |ENABLED |VALIDATED    |TYPE#                                 |        |
|LOGMNRC_GTCS                       |LOGMNRC_GTCS_PK                       |P              |ENABLED |VALIDATED    |LOGMNR_UID                            |1       |
|LOGMNRC_GTCS                       |LOGMNRC_GTCS_PK                       |P              |ENABLED |VALIDATED    |OBJ#                                  |2       |
|LOGMNRC_GTCS                       |LOGMNRC_GTCS_PK                       |P              |ENABLED |VALIDATED    |OBJV#                                 |3       |
|LOGMNRC_GTCS                       |LOGMNRC_GTCS_PK                       |P              |ENABLED |VALIDATED    |INTCOL#                               |4       |
|LOGMNRC_GTLO                       |SYS_C002937                           |C              |ENABLED |VALIDATED    |LOGMNR_UID                            |        |
|LOGMNRC_GTLO                       |SYS_C002938                           |C              |ENABLED |VALIDATED    |KEYOBJ#                               |        |
|LOGMNRC_GTLO                       |SYS_C002939                           |C              |ENABLED |VALIDATED    |LVLCNT                                |        |
|LOGMNRC_GTLO                       |SYS_C002940                           |C              |ENABLED |VALIDATED    |BASEOBJ#                              |        |
|LOGMNRC_GTLO                       |SYS_C002941                           |C              |ENABLED |VALIDATED    |BASEOBJV#                             |        |
|LOGMNRC_GTLO                       |SYS_C002942                           |C              |ENABLED |VALIDATED    |LVL0TYPE#                             |        |
|LOGMNRC_GTLO                       |SYS_C002943                           |C              |ENABLED |VALIDATED    |OWNERNAME                             |        |
|LOGMNRC_GTLO                       |SYS_C002944                           |C              |ENABLED |VALIDATED    |LVL0NAME                              |        |
|LOGMNRC_GTLO                       |SYS_C002945                           |C              |ENABLED |VALIDATED    |INTCOLS                               |        |
|LOGMNRC_GTLO                       |SYS_C002946                           |C              |ENABLED |VALIDATED    |START_SCN                             |        |
|LOGMNRC_GTLO                       |LOGMNRC_GTLO_PK                       |P              |ENABLED |VALIDATED    |LOGMNR_UID                            |1       |
|LOGMNRC_GTLO                       |LOGMNRC_GTLO_PK                       |P              |ENABLED |VALIDATED    |KEYOBJ#                               |2       |
|LOGMNRC_GTLO                       |LOGMNRC_GTLO_PK                       |P              |ENABLED |VALIDATED    |BASEOBJV#                             |3       |
|LOGMNRC_INDCOL_GG                  |SYS_C003098                           |C              |ENABLED |VALIDATED    |LOGMNR_UID                            |        |
|LOGMNRC_INDCOL_GG                  |SYS_C003099                           |C              |ENABLED |VALIDATED    |OBJ#                                  |        |
|LOGMNRC_INDCOL_GG                  |SYS_C003100                           |C              |ENABLED |VALIDATED    |COMMIT_SCN                            |        |
|LOGMNRC_INDCOL_GG                  |SYS_C003101                           |C              |ENABLED |VALIDATED    |INTCOL#                               |        |
|LOGMNRC_INDCOL_GG                  |SYS_C003102                           |C              |ENABLED |VALIDATED    |POS#                                  |        |
|LOGMNRC_INDCOL_GG                  |LOGMNRC_INDCOL_GG_PK                  |P              |ENABLED |VALIDATED    |LOGMNR_UID                            |1       |
|LOGMNRC_INDCOL_GG                  |LOGMNRC_INDCOL_GG_PK                  |P              |ENABLED |VALIDATED    |OBJ#                                  |2       |
|LOGMNRC_INDCOL_GG                  |LOGMNRC_INDCOL_GG_PK                  |P              |ENABLED |VALIDATED    |COMMIT_SCN                            |3       |
|LOGMNRC_INDCOL_GG                  |LOGMNRC_INDCOL_GG_PK                  |P              |ENABLED |VALIDATED    |INTCOL#                               |4       |
|LOGMNRC_IND_GG                     |SYS_C003074                           |C              |ENABLED |VALIDATED    |LOGMNR_UID                            |        |
|LOGMNRC_IND_GG                     |SYS_C003075                           |C              |ENABLED |VALIDATED    |OBJ#                                  |        |
|LOGMNRC_IND_GG                     |SYS_C003076                           |C              |ENABLED |VALIDATED    |NAME                                  |        |
|LOGMNRC_IND_GG                     |SYS_C003077                           |C              |ENABLED |VALIDATED    |COMMIT_SCN                            |        |
|LOGMNRC_IND_GG                     |SYS_C003078                           |C              |ENABLED |VALIDATED    |BASEOBJ#                              |        |
|LOGMNRC_IND_GG                     |SYS_C003079                           |C              |ENABLED |VALIDATED    |BASEOBJV#                             |        |
|LOGMNRC_IND_GG                     |SYS_C003080                           |C              |ENABLED |VALIDATED    |FLAGS                                 |        |
|LOGMNRC_IND_GG                     |SYS_C003081                           |C              |ENABLED |VALIDATED    |OWNER#                                |        |
|LOGMNRC_IND_GG                     |SYS_C003082                           |C              |ENABLED |VALIDATED    |OWNERNAME                             |        |
|LOGMNRC_IND_GG                     |LOGMNRC_IND_GG_PK                     |P              |ENABLED |VALIDATED    |LOGMNR_UID                            |1       |
|LOGMNRC_IND_GG                     |LOGMNRC_IND_GG_PK                     |P              |ENABLED |VALIDATED    |OBJ#                                  |2       |
|LOGMNRC_IND_GG                     |LOGMNRC_IND_GG_PK                     |P              |ENABLED |VALIDATED    |COMMIT_SCN                            |3       |
|LOGMNR_COL$                        |SYS_C003227                           |C              |ENABLED |VALIDATED    |OBJ#                                  |        |
|LOGMNR_COL$                        |LOGMNR_COL$_PK                        |P              |DISABLED|NOT VALIDATED|LOGMNR_UID                            |1       |
|LOGMNR_COL$                        |LOGMNR_COL$_PK                        |P              |DISABLED|NOT VALIDATED|OBJ#                                  |2       |
|LOGMNR_COL$                        |LOGMNR_COL$_PK                        |P              |DISABLED|NOT VALIDATED|INTCOL#                               |3       |
|LOGMNR_COLTYPE$                    |SYS_C003386                           |C              |ENABLED |VALIDATED    |OBJ#                                  |        |
