|OBJECT_NAME                        |OBJECT_TYPE|STATUS|CREATED                |LAST_DDL_TIME          |
|LOGMNR_FILTER$                     |TABLE      |VALID |2021-09-28 04:32:50.000|2021-09-28 04:32:50.000|
|LOGMNRGGC_GTCS                     |TABLE      |VALID |2021-09-28 04:32:49.000|2021-09-28 04:32:49.000|
|LOGMNRGGC_GTLO                     |TABLE      |VALID |2021-09-28 04:32:49.000|2021-09-28 04:32:49.000|
|LOGMNR_GLOBAL$                     |TABLE      |VALID |2021-09-28 04:32:48.000|2021-09-28 04:32:48.000|
|LOGMNR_GT_TAB_INCLUDE$             |TABLE      |VALID |2021-09-28 04:32:48.000|2021-09-28 04:32:48.000|
|LOGMNR_GT_USER_INCLUDE$            |TABLE      |VALID |2021-09-28 04:32:48.000|2021-09-28 04:32:48.000|
|LOGMNR_GT_XID_INCLUDE$             |TABLE      |VALID |2021-09-28 04:32:48.000|2021-09-28 04:32:48.000|
|LOGMNR_ICOL$                       |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNR_IDNSEQ$                     |TABLE      |VALID |2021-09-28 04:39:56.000|2021-09-28 04:39:56.000|
|LOGMNR_IND$                        |TABLE      |VALID |2021-09-28 04:39:53.000|2021-09-28 04:39:54.000|
|LOGMNR_INDCOMPART$                 |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNR_INDPART$                    |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNR_INDSUBPART$                 |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNR_KOPM$                       |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNR_LOB$                        |TABLE      |VALID |2021-09-28 04:39:54.000|2021-09-28 04:39:55.000|
|LOGMNR_LOBFRAG$                    |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNR_LOG$                        |TABLE      |VALID |2021-09-28 04:32:49.000|2021-09-28 04:32:49.000|
|LOGMNR_LOGMNR_BUILDLOG             |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNR_NTAB$                       |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNR_OBJ$                        |TABLE      |VALID |2021-09-28 04:39:53.000|2021-09-28 04:39:53.000|
|LOGMNR_OPQTYPE$                    |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNR_PARAMETER$                  |TABLE      |VALID |2021-09-28 04:32:50.000|2021-09-28 04:32:50.000|
|LOGMNR_PARTOBJ$                    |TABLE      |VALID |2021-09-28 04:39:56.000|2021-09-28 04:39:56.000|
|LOGMNRP_CTAS_PART_MAP              |TABLE      |VALID |2021-09-28 04:39:56.000|2021-09-28 04:39:56.000|
|LOGMNR_PDB_INFO$                   |TABLE      |VALID |2021-09-28 04:32:49.000|2021-09-28 04:32:49.000|
|LOGMNR_PROCESSED_LOG$              |TABLE      |VALID |2021-09-28 04:32:49.000|2021-09-28 04:32:49.000|
|LOGMNR_PROFILE_PLSQL_STATS$        |TABLE      |VALID |2021-09-28 04:32:50.000|2021-09-28 04:32:50.000|
|LOGMNR_PROFILE_TABLE_STATS$        |TABLE      |VALID |2021-09-28 04:32:50.000|2021-09-28 04:32:50.000|
|LOGMNR_PROPS$                      |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNR_REFCON$                     |TABLE      |VALID |2021-09-28 04:39:56.000|2021-09-28 04:39:56.000|
|LOGMNR_RESTART_CKPT$               |TABLE      |VALID |2021-09-28 04:32:50.000|2021-09-28 04:32:50.000|
|LOGMNR_RESTART_CKPT_TXINFO$        |TABLE      |VALID |2021-09-28 04:32:50.000|2021-09-28 04:32:50.000|
|LOGMNR_SEED$                       |TABLE      |VALID |2021-09-28 04:39:53.000|2021-09-28 04:39:53.000|
|LOGMNR_SESSION$                    |TABLE      |VALID |2021-09-28 04:32:50.000|2021-09-28 04:32:50.000|
|LOGMNR_SESSION_ACTIONS$            |TABLE      |VALID |2021-09-28 04:32:50.000|2021-09-28 04:32:50.000|
|LOGMNR_SESSION_EVOLVE$             |TABLE      |VALID |2021-09-28 04:32:48.000|2021-09-28 04:32:48.000|
|LOGMNR_SHARD_TS                    |TABLE      |VALID |2021-09-28 04:39:56.000|2021-09-28 04:39:56.000|
|LOGMNR_SPILL$                      |TABLE      |VALID |2021-09-28 04:32:49.000|2021-09-28 04:32:49.000|
|LOGMNR_SUBCOLTYPE$                 |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
|LOGMNR_TAB$                        |TABLE      |VALID |2021-09-28 04:39:53.000|2021-09-28 04:39:53.000|
|LOGMNR_TABCOMPART$                 |TABLE      |VALID |2021-09-28 04:39:54.000|2021-09-28 04:39:54.000|
|LOGMNR_TABPART$                    |TABLE      |VALID |2021-09-28 04:39:54.000|2021-09-28 04:39:54.000|
|LOGMNR_TABSUBPART$                 |TABLE      |VALID |2021-09-28 04:39:54.000|2021-09-28 04:39:54.000|
|LOGMNRT_MDDL$                      |TABLE      |VALID |2021-09-28 04:32:51.000|2021-09-28 04:32:51.000|
|LOGMNR_TS$                         |TABLE      |VALID |2021-09-28 04:39:53.000|2021-09-28 04:39:53.000|
|LOGMNR_TYPE$                       |TABLE      |VALID |2021-09-28 04:39:54.000|2021-09-28 04:39:54.000|
|LOGMNR_UID$                        |TABLE      |VALID |2021-09-28 04:32:49.000|2021-09-28 04:32:49.000|
|LOGMNR_USER$                       |TABLE      |VALID |2021-09-28 04:39:54.000|2021-09-28 04:39:54.000|
|LOGSTDBY$APPLY_MILESTONE           |TABLE      |VALID |2021-09-28 04:46:50.000|2021-09-28 04:46:50.000|
|LOGSTDBY$APPLY_PROGRESS            |TABLE      |VALID |2021-09-28 04:46:50.000|2021-09-28 04:46:50.000|
|LOGSTDBY$EDS_TABLES                |TABLE      |VALID |2021-09-28 04:46:52.000|2021-09-28 04:46:52.000|
|LOGSTDBY$EVENTS                    |TABLE      |VALID |2021-09-28 04:46:50.000|2021-09-28 04:46:50.000|
|LOGSTDBY$FLASHBACK_SCN             |TABLE      |VALID |2021-09-28 04:46:50.000|2021-09-28 04:46:50.000|
|LOGSTDBY$HISTORY                   |TABLE      |VALID |2021-09-28 04:46:52.000|2021-09-28 04:46:52.000|
|LOGSTDBY$PARAMETERS                |TABLE      |VALID |2021-09-28 04:46:50.000|2021-09-28 05:07:34.000|
|LOGSTDBY$PLSQL                     |TABLE      |VALID |2021-09-28 04:46:50.000|2021-09-28 04:46:50.000|
|LOGSTDBY$SCN                       |TABLE      |VALID |2021-09-28 04:46:50.000|2021-09-28 04:46:50.000|
|LOGSTDBY$SKIP                      |TABLE      |VALID |2021-09-28 04:46:50.000|2021-09-28 04:46:50.000|
|LOGSTDBY$SKIP_SUPPORT              |TABLE      |VALID |2021-09-28 04:46:50.000|2021-09-28 04:46:52.000|
|LOGSTDBY$SKIP_TRANSACTION          |TABLE      |VALID |2021-09-28 04:46:50.000|2021-09-28 04:46:50.000|
|MVIEW$_ADV_AJG                     |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_BASETABLE               |TABLE      |VALID |2021-09-28 04:37:34.000|2021-09-28 04:37:34.000|
|MVIEW$_ADV_CLIQUE                  |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_ELIGIBLE                |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_EXCEPTIONS              |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_FILTER                  |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_FILTERINSTANCE          |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_FJG                     |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_GC                      |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_INFO                    |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_JOURNAL                 |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_LEVEL                   |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_LOG                     |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_OUTPUT                  |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
