|TABLE_NAME                         |CONSTRAINT_NAME                  |SEARCH_CONDITION                                        |STATUS |
|LOGMNRC_IND_GG                     |SYS_C003079                      |"\"BASEOBJV#\" IS NOT NULL"                             |ENABLED|
|LOGMNRC_IND_GG                     |SYS_C003080                      |"\"FLAGS\" IS NOT NULL"                                 |ENABLED|
|LOGMNRC_IND_GG                     |SYS_C003081                      |"\"OWNER#\" IS NOT NULL"                                |ENABLED|
|LOGMNRC_IND_GG                     |SYS_C003082                      |"\"OWNERNAME\" IS NOT NULL"                             |ENABLED|
|LOGMNR_COL$                        |SYS_C003227                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_COLTYPE$                    |SYS_C003386                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_CON$                        |SYS_C003421                      |"\"OWNER#\" IS NOT NULL"                                |ENABLED|
|LOGMNR_CON$                        |SYS_C003422                      |"\"NAME\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_CON$                        |SYS_C003423                      |"\"CON#\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_CONTAINER$                  |SYS_C003430                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_CONTAINER$                  |SYS_C003432                      |"\"CON_ID#\" IS NOT NULL"                               |ENABLED|
|LOGMNR_CONTAINER$                  |SYS_C003433                      |"\"DBID\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_CONTAINER$                  |SYS_C003434                      |"\"CON_UID\" IS NOT NULL"                               |ENABLED|
|LOGMNR_CONTAINER$                  |SYS_C003435                      |"\"CREATE_SCNWRP\" IS NOT NULL"                         |ENABLED|
|LOGMNR_CONTAINER$                  |SYS_C003436                      |"\"CREATE_SCNBAS\" IS NOT NULL"                         |ENABLED|
|LOGMNR_CONTAINER$                  |SYS_C003437                      |"\"STATUS\" IS NOT NULL"                                |ENABLED|
|LOGMNRC_SEQ_GG                     |SYS_C002985                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_SEQ_GG                     |SYS_C002986                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNRC_SEQ_GG                     |SYS_C002987                      |"\"COMMIT_SCN\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_SEQ_GG                     |SYS_C002988                      |"\"SEQ_FLAGS\" IS NOT NULL"                             |ENABLED|
|LOGMNRC_SEQ_GG                     |SYS_C002989                      |"\"OWNER#\" IS NOT NULL"                                |ENABLED|
|LOGMNRC_SEQ_GG                     |SYS_C002990                      |"\"OWNERNAME\" IS NOT NULL"                             |ENABLED|
|LOGMNRC_SEQ_GG                     |SYS_C002991                      |"\"OBJNAME\" IS NOT NULL"                               |ENABLED|
|LOGMNRC_SHARD_TS                   |SYS_C003107                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_SHARD_TS                   |SYS_C003108                      |"\"TABLESPACE_NAME\" IS NOT NULL"                       |ENABLED|
|LOGMNRC_SHARD_TS                   |SYS_C003109                      |"\"CHUNK_NUMBER\" IS NOT NULL"                          |ENABLED|
|LOGMNRC_SHARD_TS                   |SYS_C003110                      |"\"START_SCN\" IS NOT NULL"                             |ENABLED|
|LOGMNRC_TS                         |SYS_C003128                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_TS                         |SYS_C003130                      |"\"START_SCN\" IS NOT NULL"                             |ENABLED|
|LOGMNRC_TSPART                     |SYS_C003114                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_TSPART                     |SYS_C003115                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNRC_TSPART                     |SYS_C003116                      |"\"TS#\" IS NOT NULL"                                   |ENABLED|
|LOGMNRC_TSPART                     |SYS_C003117                      |"\"START_SCN\" IS NOT NULL"                             |ENABLED|
|LOGMNRC_USER                       |SYS_C003163                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_USER                       |SYS_C003164                      |"\"NAME\" IS NOT NULL"                                  |ENABLED|
|LOGMNRC_USER                       |SYS_C003165                      |"\"START_SCN\" IS NOT NULL"                             |ENABLED|
|LOGMNR_DICTIONARY$                 |SYS_C003193                      |"\"DB_DICT_OBJECTCOUNT\" IS NOT NULL"                   |ENABLED|
|LOGMNR_ENC$                        |SYS_C003518                      |"\"MKEYID\" IS NOT NULL"                                |ENABLED|
|LOGMNRGGC_GTCS                     |SYS_C001740                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRGGC_GTCS                     |SYS_C001741                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNRGGC_GTCS                     |SYS_C001742                      |"\"OBJV#\" IS NOT NULL"                                 |ENABLED|
|LOGMNRGGC_GTCS                     |SYS_C001743                      |"\"SEGCOL#\" IS NOT NULL"                               |ENABLED|
|LOGMNRGGC_GTCS                     |SYS_C001744                      |"\"INTCOL#\" IS NOT NULL"                               |ENABLED|
|LOGMNRGGC_GTCS                     |SYS_C001745                      |"\"COLNAME\" IS NOT NULL"                               |ENABLED|
|LOGMNRGGC_GTCS                     |SYS_C001746                      |"\"TYPE#\" IS NOT NULL"                                 |ENABLED|
|LOGMNRGGC_GTLO                     |SYS_C001729                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRGGC_GTLO                     |SYS_C001730                      |"\"KEYOBJ#\" IS NOT NULL"                               |ENABLED|
|LOGMNRGGC_GTLO                     |SYS_C001731                      |"\"LVLCNT\" IS NOT NULL"                                |ENABLED|
|LOGMNRGGC_GTLO                     |SYS_C001732                      |"\"BASEOBJ#\" IS NOT NULL"                              |ENABLED|
|LOGMNRGGC_GTLO                     |SYS_C001733                      |"\"BASEOBJV#\" IS NOT NULL"                             |ENABLED|
|LOGMNRGGC_GTLO                     |SYS_C001734                      |"\"LVL0TYPE#\" IS NOT NULL"                             |ENABLED|
|LOGMNRGGC_GTLO                     |SYS_C001735                      |"\"OWNERNAME\" IS NOT NULL"                             |ENABLED|
|LOGMNRGGC_GTLO                     |SYS_C001736                      |"\"LVL0NAME\" IS NOT NULL"                              |ENABLED|
|LOGMNRGGC_GTLO                     |SYS_C001737                      |"\"INTCOLS\" IS NOT NULL"                               |ENABLED|
|LOGMNRGGC_GTLO                     |SYS_C001738                      |"\"START_SCN\" IS NOT NULL"                             |ENABLED|
|LOGMNR_ICOL$                       |SYS_C003460                      |"\"INTCOL#\" IS NOT NULL"                               |ENABLED|
|LOGMNR_IDNSEQ$                     |SYS_C003535                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_IDNSEQ$                     |SYS_C003536                      |"\"INTCOL#\" IS NOT NULL"                               |ENABLED|
|LOGMNR_IDNSEQ$                     |SYS_C003538                      |"\"SEQOBJ#\" IS NOT NULL"                               |ENABLED|
|LOGMNR_IDNSEQ$                     |SYS_C003540                      |"\"STARTWITH\" IS NOT NULL"                             |ENABLED|
|LOGMNR_IND$                        |SYS_C003265                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_INDCOMPART$                 |SYS_C003489                      |"\"PART#\" IS NOT NULL"                                 |ENABLED|
|LOGMNR_INDPART$                    |SYS_C003473                      |"\"TS#\" IS NOT NULL"                                   |ENABLED|
|LOGMNR_INDSUBPART$                 |SYS_C003481                      |"\"TS#\" IS NOT NULL"                                   |ENABLED|
|LOGMNR_KOPM$                       |SYS_C003505                      |"\"NAME\" IS NOT NULL"                                  |ENABLED|
